Date,Time,League,Division,Type,Away_Team,Away_Link,Away_Score,Home_Team,Home_Link,Home_Score,Location,Summary
2025-12-13,23:45,5v5,Touch_Division_12,PLAYOFFS,Globo Gym Purple Cobras,https://pitfootball.com/league/pit-football/division/72/teams/584,0,Moneyball,https://pitfootball.com/league/pit-football/division/72/teams/581,38,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/72/schedule/998
2025-12-13,23:45,5v5,Touch_Division_14,PLAYOFFS,Injured Reserve,https://pitfootball.com/league/pit-football/division/74/teams/590,24,Average Sized Giants,https://pitfootball.com/league/pit-football/division/74/teams/589,20,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/74/schedule/991
2025-12-13,23:45,5v5,Touch_Division_16,PLAYOFFS,Glazed and Confused,https://pitfootball.comdivision/77/teams/643,,Punt Force Trauma,https://pitfootball.com/league/pit-football/division/76/teams/642,,WSF North - Garden City Complex (4),
2025-12-13,23:45,5v5,Touch_Division_18,PLAYOFFS,Glazed and Confused,https://pitfootball.comdivision/77/teams/643,,Punt Force Trauma,https://pitfootball.com/league/pit-football/division/76/teams/642,,WSF North - Garden City Complex (4),
2025-12-13,23:45,5v5,Touch_Division_1,PLAYOFFS,Seafood City,https://pitfootball.com/league/pit-football/division/80/teams/543,26,Polk High,https://pitfootball.com/league/pit-football/division/80/teams/540,39,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/80/schedule/995
2025-12-13,22:45,5v5,Touch_Division_15,PLAYOFFS,The Blue Ballers,https://pitfootball.com/league/pit-football/division/75/teams/596,20,Hawks,https://pitfootball.com/league/pit-football/division/75/teams/594,25,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/75/schedule/1001
2025-12-13,22:45,5v5,Touch_Division_17,PLAYOFFS,Wheeling Hamoods,https://pitfootball.com/league/pit-football/division/78/teams/619,25,Original 16 Free Agents,https://pitfootball.com/league/pit-football/division/78/teams/622,7,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/78/schedule/997
2025-12-13,22:45,Coed,Coed_D1,PLAYOFFS,Here for the Football,https://pitfootball.com/league/pit-football/division/82/teams/604,26,Danger Zone (Coed),https://pitfootball.com/league/pit-football/division/82/teams/609,40,WSF North - Garden City Complex (4),https://pitfootball.com/league/pit-football/division/82/schedule/1000
2025-12-13,22:45,Coed,Coed_D3,PLAYOFFS,Mean Girls,https://pitfootball.com/league/pit-football/division/84/teams/608,20,Hot Chubb Time Machine,https://pitfootball.com/league/pit-football/division/84/teams/607,31,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/84/schedule/994
2025-12-13,21:45,5v5,Touch_Division_3,PLAYOFFS,Cream on your TDs,https://pitfootball.com/league/pit-football/division/63/teams/547,44,Cream of the century,https://pitfootball.com/league/pit-football/division/63/teams/548,59,WSF North - Garden City Complex (4),https://pitfootball.com/league/pit-football/division/63/schedule/999
2025-12-13,21:45,5v5,Touch_Division_8,PLAYOFFS,Les Amis D'Huddle,https://pitfootball.com/league/pit-football/division/68/teams/567,34,Post Dig Picks Route,https://pitfootball.com/league/pit-football/division/68/teams/568,18,WSF North - Garden City Complex (3),https://pitfootball.com/league/pit-football/division/68/schedule/996
2025-12-13,21:45,5v5,Touch_Division_9,PLAYOFFS,Deep Balls n House Calls,https://pitfootball.com/league/pit-football/division/69/teams/571,25,Football Is Fun,https://pitfootball.com/league/pit-football/division/69/teams/572,12,WSF North - Garden City Complex (1),https://pitfootball.com/league/pit-football/division/69/schedule/990
2025-12-13,21:45,Flag,Flag_D3_Coed,PLAYOFFS,Lechon Legends,https://pitfootball.com/league/pit-football/division/62/teams/616,17,Smells Like Teen Spirit,https://pitfootball.com/league/pit-football/division/62/teams/617,33,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/62/schedule/993
2025-12-13,20:45,5v5,Touch_Division_4,PLAYOFFS,North Bay,https://pitfootball.comdivision/65/teams/633,25,Rifles,https://pitfootball.com/league/pit-football/division/64/teams/632,0,WSF North - Garden City Complex (2),https://pitfootball.com/league/pit-football/division/64/schedule/975
